
time 00h 00m 05s, episodes 2, frames 0.000591M, mean epr -115.13, run loss -1969.45
time 00h 00m 10s, episodes 10, frames 0.001358M, mean epr -117.28, run loss -3684.54
time 00h 00m 15s, episodes 20, frames 0.002167M, mean epr -119.85, run loss -3428.71
time 00h 00m 21s, episodes 32, frames 0.002973M, mean epr -119.22, run loss -2629.80
time 00h 00m 26s, episodes 38, frames 0.003663M, mean epr -119.83, run loss -2632.98
time 00h 00m 31s, episodes 50, frames 0.004387M, mean epr -120.82, run loss -1994.52
time 00h 00m 36s, episodes 57, frames 0.005102M, mean epr -116.41, run loss -2155.62
time 00h 00m 41s, episodes 68, frames 0.005888M, mean epr -117.02, run loss -1786.64
time 00h 00m 46s, episodes 76, frames 0.006661M, mean epr -120.92, run loss -1943.11
time 00h 00m 51s, episodes 86, frames 0.007461M, mean epr -124.28, run loss -5116.91
time 00h 00m 56s, episodes 97, frames 0.008265M, mean epr -119.39, run loss -1939.82
time 00h 01m 01s, episodes 105, frames 0.009067M, mean epr -119.20, run loss -1846.86
time 00h 01m 06s, episodes 115, frames 0.009864M, mean epr -130.54, run loss -4305.42
time 00h 01m 11s, episodes 126, frames 0.010669M, mean epr -119.05, run loss -3260.72
time 00h 01m 16s, episodes 134, frames 0.011443M, mean epr -113.22, run loss -2552.02
time 00h 01m 21s, episodes 144, frames 0.012257M, mean epr -115.41, run loss -1711.37
time 00h 01m 27s, episodes 153, frames 0.013054M, mean epr -117.01, run loss -1921.61
time 00h 01m 32s, episodes 163, frames 0.013842M, mean epr -120.31, run loss -3277.24
time 00h 01m 37s, episodes 173, frames 0.014627M, mean epr -122.53, run loss -3932.61
time 00h 01m 42s, episodes 180, frames 0.015443M, mean epr -119.97, run loss -2021.51
time 00h 01m 47s, episodes 188, frames 0.016217M, mean epr -119.66, run loss -1970.52
time 00h 01m 52s, episodes 200, frames 0.017036M, mean epr -120.44, run loss -2782.64
time 00h 01m 57s, episodes 208, frames 0.017841M, mean epr -115.76, run loss -2246.60
time 00h 02m 02s, episodes 221, frames 0.018655M, mean epr -116.57, run loss -2775.46
time 00h 02m 07s, episodes 228, frames 0.019430M, mean epr -113.33, run loss -2667.74
time 00h 02m 12s, episodes 234, frames 0.020240M, mean epr -118.65, run loss -2629.34
time 00h 02m 17s, episodes 242, frames 0.021031M, mean epr -115.92, run loss -2309.84
time 00h 02m 22s, episodes 254, frames 0.021855M, mean epr -107.97, run loss -2831.54
time 00h 02m 27s, episodes 261, frames 0.022638M, mean epr -116.49, run loss -2914.65
time 00h 02m 33s, episodes 270, frames 0.023455M, mean epr -119.33, run loss -3054.88
time 00h 02m 38s, episodes 278, frames 0.024269M, mean epr -115.22, run loss -2851.45
time 00h 02m 43s, episodes 288, frames 0.025068M, mean epr -119.79, run loss -4231.92
time 00h 02m 48s, episodes 296, frames 0.025863M, mean epr -120.27, run loss -2948.38
time 00h 02m 53s, episodes 306, frames 0.026658M, mean epr -122.06, run loss -1871.92
time 00h 02m 59s, episodes 316, frames 0.027479M, mean epr -114.07, run loss -2024.18
time 00h 03m 04s, episodes 323, frames 0.028259M, mean epr -115.80, run loss -2028.50
time 00h 03m 09s, episodes 335, frames 0.029065M, mean epr -117.43, run loss -2779.34
time 00h 03m 14s, episodes 345, frames 0.029884M, mean epr -130.46, run loss -5951.16
time 00h 03m 19s, episodes 355, frames 0.030687M, mean epr -116.93, run loss -2276.37
time 00h 03m 24s, episodes 364, frames 0.031510M, mean epr -114.72, run loss -2393.04
time 00h 03m 29s, episodes 373, frames 0.032338M, mean epr -125.17, run loss -4372.33
time 00h 03m 35s, episodes 384, frames 0.033237M, mean epr -120.95, run loss -3605.88
