time 00h 00m 05s, episodes 5, frames 0.001768M, mean epr -235.21, run loss 886.12
time 00h 00m 10s, episodes 46, frames 0.006180M, mean epr -162.31, run loss 724.77
time 00h 00m 15s, episodes 107, frames 0.010750M, mean epr -402.77, run loss 1620.71
time 00h 00m 20s, episodes 172, frames 0.015522M, mean epr -302.87, run loss 1542.27
time 00h 00m 25s, episodes 231, frames 0.020493M, mean epr -370.88, run loss 1680.21
time 00h 00m 31s, episodes 295, frames 0.025446M, mean epr -492.08, run loss 1761.25
time 00h 00m 36s, episodes 355, frames 0.030150M, mean epr -362.35, run loss 1536.52
time 00h 00m 41s, episodes 412, frames 0.034903M, mean epr -622.75, run loss 2356.86
time 00h 00m 46s, episodes 475, frames 0.040288M, mean epr -351.55, run loss 1672.49
time 00h 00m 52s, episodes 542, frames 0.045494M, mean epr -408.40, run loss 1018.52
time 00h 00m 57s, episodes 595, frames 0.050493M, mean epr -487.11, run loss 2361.47
time 00h 01m 03s, episodes 655, frames 0.055753M, mean epr -78.38, run loss 851.01
time 00h 01m 08s, episodes 704, frames 0.060985M, mean epr -399.19, run loss 2642.38
time 00h 01m 14s, episodes 751, frames 0.065773M, mean epr -504.35, run loss 1720.20
time 00h 01m 19s, episodes 797, frames 0.070577M, mean epr -480.99, run loss 2205.32
time 00h 01m 24s, episodes 837, frames 0.075571M, mean epr -248.58, run loss 860.89
time 00h 01m 29s, episodes 879, frames 0.080529M, mean epr -547.91, run loss 2346.50
time 00h 01m 34s, episodes 930, frames 0.085304M, mean epr -622.43, run loss 2401.78
time 00h 01m 40s, episodes 984, frames 0.090978M, mean epr -553.33, run loss 2250.15
time 00h 01m 46s, episodes 1032, frames 0.096194M, mean epr -586.28, run loss 3199.81
time 00h 01m 51s, episodes 1076, frames 0.100960M, mean epr -669.75, run loss 2228.66
time 00h 01m 56s, episodes 1125, frames 0.106073M, mean epr -395.18, run loss 1029.91
time 00h 02m 01s, episodes 1184, frames 0.110949M, mean epr -412.52, run loss 1417.37
time 00h 02m 06s, episodes 1238, frames 0.115651M, mean epr -440.00, run loss 1711.01
time 00h 02m 12s, episodes 1282, frames 0.120367M, mean epr -760.28, run loss 5721.23
time 00h 02m 17s, episodes 1327, frames 0.125294M, mean epr -743.30, run loss 3368.11
time 00h 02m 22s, episodes 1368, frames 0.130081M, mean epr -366.06, run loss 1353.20
time 00h 02m 27s, episodes 1404, frames 0.134746M, mean epr -527.49, run loss 2469.68
time 00h 02m 32s, episodes 1457, frames 0.139960M, mean epr -556.75, run loss 2775.19
time 00h 02m 37s, episodes 1512, frames 0.144978M, mean epr -595.36, run loss 1926.91
time 00h 02m 43s, episodes 1542, frames 0.150102M, mean epr -506.43, run loss 2172.46
time 00h 02m 48s, episodes 1580, frames 0.154840M, mean epr -459.05, run loss 2207.04
time 00h 02m 53s, episodes 1625, frames 0.160195M, mean epr -288.83, run loss 1579.32
time 00h 02m 59s, episodes 1669, frames 0.164944M, mean epr -487.83, run loss 1299.53
time 00h 03m 04s, episodes 1714, frames 0.169817M, mean epr -687.98, run loss 2678.35
time 00h 03m 09s, episodes 1765, frames 0.174643M, mean epr -573.70, run loss 2925.06
time 00h 03m 14s, episodes 1814, frames 0.179730M, mean epr -600.05, run loss 2682.31
time 00h 03m 20s, episodes 1874, frames 0.185038M, mean epr -552.89, run loss 1949.18
time 00h 03m 25s, episodes 1908, frames 0.189755M, mean epr -330.32, run loss 762.72
time 00h 03m 31s, episodes 1952, frames 0.195151M, mean epr -593.18, run loss 2081.00
time 00h 03m 36s, episodes 2000, frames 0.199924M, mean epr -242.07, run loss 890.51
time 00h 03m 41s, episodes 2055, frames 0.205000M, mean epr -531.34, run loss 1783.64
time 00h 03m 47s, episodes 2097, frames 0.210243M, mean epr -281.26, run loss 1259.56
time 00h 03m 52s, episodes 2159, frames 0.215282M, mean epr -489.83, run loss 2117.57
time 00h 03m 57s, episodes 2213, frames 0.220086M, mean epr -109.11, run loss 541.63
time 00h 04m 03s, episodes 2282, frames 0.225627M, mean epr -415.80, run loss 1954.42
time 00h 04m 08s, episodes 2325, frames 0.230377M, mean epr -467.19, run loss 2301.07
time 00h 04m 13s, episodes 2358, frames 0.235203M, mean epr -181.38, run loss 1324.79
time 00h 04m 18s, episodes 2401, frames 0.240003M, mean epr -215.87, run loss 2081.64
time 00h 04m 23s, episodes 2418, frames 0.244811M, mean epr -434.48, run loss 2146.32
time 00h 04m 28s, episodes 2469, frames 0.249619M, mean epr -237.40, run loss 1890.24
time 00h 04m 34s, episodes 2530, frames 0.254972M, mean epr -577.13, run loss 2396.51
time 00h 04m 39s, episodes 2570, frames 0.259920M, mean epr -103.80, run loss 1315.68
time 00h 04m 44s, episodes 2609, frames 0.265092M, mean epr -216.12, run loss 1381.25
time 00h 04m 50s, episodes 2668, frames 0.269825M, mean epr -357.94, run loss 1491.53
time 00h 04m 55s, episodes 2730, frames 0.274708M, mean epr -367.77, run loss 1326.67
time 00h 05m 00s, episodes 2796, frames 0.279839M, mean epr -195.15, run loss 799.47
time 00h 05m 05s, episodes 2832, frames 0.284708M, mean epr -337.10, run loss 2478.94
time 00h 05m 10s, episodes 2875, frames 0.289465M, mean epr -358.03, run loss 2381.24
time 00h 05m 15s, episodes 2928, frames 0.294175M, mean epr -91.29, run loss 558.25
time 00h 05m 21s, episodes 2963, frames 0.299378M, mean epr -188.56, run loss 972.55
time 00h 05m 26s, episodes 2998, frames 0.304096M, mean epr -457.72, run loss 2902.95
time 00h 05m 31s, episodes 3030, frames 0.309022M, mean epr -353.30, run loss 2433.20
time 00h 05m 37s, episodes 3062, frames 0.314348M, mean epr -85.98, run loss 1209.90
time 00h 05m 42s, episodes 3100, frames 0.319126M, mean epr -213.31, run loss 625.88
time 00h 05m 47s, episodes 3130, frames 0.323889M, mean epr -281.76, run loss 2005.57
time 00h 05m 52s, episodes 3152, frames 0.328743M, mean epr -284.97, run loss 2040.62
time 00h 05m 58s, episodes 3195, frames 0.333939M, mean epr -99.34, run loss 1361.34
time 00h 06m 03s, episodes 3255, frames 0.338962M, mean epr -197.88, run loss 2656.48
time 00h 06m 08s, episodes 3300, frames 0.343695M, mean epr -95.54, run loss 761.54
time 00h 06m 13s, episodes 3322, frames 0.348658M, mean epr -346.60, run loss 1725.38
time 00h 06m 18s, episodes 3351, frames 0.353518M, mean epr -62.64, run loss 663.76
time 00h 06m 23s, episodes 3371, frames 0.358184M, mean epr -278.93, run loss 3992.81
time 00h 06m 28s, episodes 3402, frames 0.362859M, mean epr -116.48, run loss 4186.92
time 00h 06m 33s, episodes 3430, frames 0.367723M, mean epr -180.97, run loss 1205.02
time 00h 06m 39s, episodes 3485, frames 0.372748M, mean epr -139.31, run loss 2807.70
time 00h 06m 44s, episodes 3526, frames 0.377700M, mean epr -101.06, run loss 1018.40
time 00h 06m 49s, episodes 3543, frames 0.382424M, mean epr -227.43, run loss 2171.45
time 00h 06m 54s, episodes 3594, frames 0.387125M, mean epr -275.16, run loss 741.63
time 00h 06m 59s, episodes 3643, frames 0.391945M, mean epr -24.90, run loss 613.46
time 00h 07m 04s, episodes 3687, frames 0.396652M, mean epr -170.00, run loss 607.33
time 00h 07m 09s, episodes 3716, frames 0.401409M, mean epr -76.28, run loss 2288.83
time 00h 07m 15s, episodes 3771, frames 0.406718M, mean epr -85.83, run loss 1108.35
time 00h 07m 20s, episodes 3828, frames 0.411903M, mean epr -61.50, run loss 1457.30
time 00h 07m 26s, episodes 3859, frames 0.416802M, mean epr -185.24, run loss 1392.89
