tensor(3.3710, device='cuda:0'),3.337992726564407,tensor(0.1077, device='cuda:0'),tensor(0.1275, device='cuda:0')
tensor(3.3133, device='cuda:0'),3.2838804042339325,tensor(0.1115, device='cuda:0'),tensor(0.1318, device='cuda:0')
tensor(3.2624, device='cuda:0'),3.23253319978714,tensor(0.1085, device='cuda:0'),tensor(0.1367, device='cuda:0')
tensor(3.2131, device='cuda:0'),3.1835313653945922,tensor(0.1142, device='cuda:0'),tensor(0.1306, device='cuda:0')
tensor(3.1662, device='cuda:0'),3.1359138655662537,tensor(0.1098, device='cuda:0'),tensor(0.1259, device='cuda:0')
tensor(3.1205, device='cuda:0'),3.0963608121871946,tensor(0.1117, device='cuda:0'),tensor(0.1377, device='cuda:0')
tensor(3.0754, device='cuda:0'),3.044236717224121,tensor(0.1199, device='cuda:0'),tensor(0.1440, device='cuda:0')
tensor(3.0301, device='cuda:0'),3.0014974129199983,tensor(0.1148, device='cuda:0'),tensor(0.1297, device='cuda:0')
tensor(2.9850, device='cuda:0'),2.958479496240616,tensor(0.1310, device='cuda:0'),tensor(0.1380, device='cuda:0')
tensor(2.9413, device='cuda:0'),2.9097265720367433,tensor(0.1356, device='cuda:0'),tensor(0.1467, device='cuda:0')
tensor(2.8981, device='cuda:0'),2.8665736937522888,tensor(0.1371, device='cuda:0'),tensor(0.1354, device='cuda:0')
tensor(2.8551, device='cuda:0'),2.8340592265129088,tensor(0.1416, device='cuda:0'),tensor(0.1464, device='cuda:0')
tensor(2.8138, device='cuda:0'),2.792219480276108,tensor(0.1441, device='cuda:0'),tensor(0.1368, device='cuda:0')
tensor(2.7764, device='cuda:0'),2.7471228718757628,tensor(0.1435, device='cuda:0'),tensor(0.1285, device='cuda:0')
tensor(2.7363, device='cuda:0'),2.7072349524497987,tensor(0.1428, device='cuda:0'),tensor(0.1333, device='cuda:0')
