time 00h 00m 10s, episodes 9, frames 0.001939M, mean epr -435.69, run loss 2432.77
time 00h 00m 20s, episodes 26, frames 0.003589M, mean epr -189.41, run loss 1036.05
time 00h 00m 30s, episodes 47, frames 0.005634M, mean epr -454.54, run loss 2598.94
time 00h 00m 41s, episodes 61, frames 0.008215M, mean epr -108.79, run loss 373.16
time 00h 00m 53s, episodes 99, frames 0.011786M, mean epr -645.93, run loss 2798.08
time 00h 01m 05s, episodes 138, frames 0.015423M, mean epr -235.91, run loss 656.04
time 00h 01m 16s, episodes 183, frames 0.018903M, mean epr -373.79, run loss 1303.51
time 00h 01m 26s, episodes 214, frames 0.022376M, mean epr -562.46, run loss 2286.85
time 00h 01m 38s, episodes 252, frames 0.026433M, mean epr -278.42, run loss 1118.46
time 00h 01m 49s, episodes 287, frames 0.029823M, mean epr -588.09, run loss 2484.02
time 00h 02m 00s, episodes 314, frames 0.033257M, mean epr -546.63, run loss 2484.56
time 00h 02m 10s, episodes 344, frames 0.036719M, mean epr -420.69, run loss 1740.10
time 00h 02m 21s, episodes 370, frames 0.040440M, mean epr -39.34, run loss 59.75
time 00h 02m 32s, episodes 399, frames 0.044048M, mean epr -93.93, run loss 748.66
time 00h 02m 43s, episodes 427, frames 0.047634M, mean epr -389.95, run loss 2046.49
time 00h 02m 53s, episodes 445, frames 0.051159M, mean epr -435.15, run loss 1557.60
time 00h 03m 04s, episodes 476, frames 0.054765M, mean epr -417.07, run loss 1688.26
time 00h 03m 14s, episodes 521, frames 0.058355M, mean epr -444.87, run loss 1634.80
time 00h 03m 25s, episodes 554, frames 0.061972M, mean epr -439.53, run loss 2107.91
time 00h 03m 35s, episodes 591, frames 0.065518M, mean epr -413.84, run loss 1654.00
time 00h 03m 46s, episodes 627, frames 0.069200M, mean epr -468.55, run loss 1968.06
time 00h 03m 58s, episodes 661, frames 0.073037M, mean epr -481.47, run loss 1482.71
time 00h 04m 09s, episodes 700, frames 0.076792M, mean epr -652.39, run loss 3018.64
time 00h 04m 19s, episodes 730, frames 0.080417M, mean epr -610.82, run loss 2400.88
