
time 00h 00m 10s, episodes 19, frames 0.002669M, mean epr -555.20, run loss 2343.91
time 00h 00m 20s, episodes 52, frames 0.005186M, mean epr -570.57, run loss 5544.84
time 00h 00m 32s, episodes 94, frames 0.008959M, mean epr -488.52, run loss 2399.32
time 00h 00m 43s, episodes 143, frames 0.012724M, mean epr -515.89, run loss 2307.52
time 00h 00m 56s, episodes 197, frames 0.016761M, mean epr -475.41, run loss 1808.68
time 00h 01m 09s, episodes 240, frames 0.020800M, mean epr -397.51, run loss 1948.86
time 00h 01m 21s, episodes 288, frames 0.024867M, mean epr -365.24, run loss 2508.01
time 00h 01m 33s, episodes 334, frames 0.028955M, mean epr -379.38, run loss 1473.94
time 00h 01m 43s, episodes 363, frames 0.031762M, mean epr -0.05, run loss 265.97
time 00h 01m 53s, episodes 392, frames 0.034442M, mean epr -43.59, run loss 292.02
time 00h 02m 05s, episodes 416, frames 0.037501M, mean epr -503.48, run loss 3726.98
time 00h 02m 17s, episodes 447, frames 0.040857M, mean epr -467.91, run loss 2452.62
time 00h 02m 30s, episodes 484, frames 0.044030M, mean epr -473.84, run loss 1765.14
time 00h 02m 43s, episodes 510, frames 0.046725M, mean epr -529.15, run loss 1790.74
time 00h 02m 55s, episodes 533, frames 0.049277M, mean epr -602.98, run loss 2570.41
time 00h 03m 05s, episodes 553, frames 0.051397M, mean epr -447.65, run loss 2341.29
time 00h 03m 15s, episodes 566, frames 0.053403M, mean epr -439.92, run loss 2638.36
time 00h 03m 25s, episodes 587, frames 0.055417M, mean epr -424.57, run loss 2113.04
time 00h 03m 38s, episodes 609, frames 0.058135M, mean epr -418.15, run loss 2302.08
time 00h 03m 49s, episodes 634, frames 0.060323M, mean epr -283.69, run loss 340.78
time 00h 03m 59s, episodes 648, frames 0.062536M, mean epr -453.02, run loss 2490.68
time 00h 04m 10s, episodes 669, frames 0.064760M, mean epr -434.40, run loss 2014.77
time 00h 04m 22s, episodes 685, frames 0.067375M, mean epr -63.93, run loss 193.72
time 00h 04m 36s, episodes 707, frames 0.069974M, mean epr -187.52, run loss 1547.74
time 00h 04m 46s, episodes 724, frames 0.072085M, mean epr -480.81, run loss 2008.48
time 00h 05m 00s, episodes 744, frames 0.074886M, mean epr -386.50, run loss 1345.53
time 00h 05m 10s, episodes 767, frames 0.076960M, mean epr -293.99, run loss 1526.09
time 00h 05m 20s, episodes 793, frames 0.079162M, mean epr -277.48, run loss 1214.83
time 00h 05m 30s, episodes 811, frames 0.081169M, mean epr -97.71, run loss 262.10
