epoch:0,	Loss:1.8734,	Tr Acc:20.5820,	Ts Acc:41.0336,	Time:9.7338,	A Norm:263.6478
epoch:1,	Loss:1.2914,	Tr Acc:59.6003,	Ts Acc:69.0371,	Time:9.6248,	A Norm:343.3969
epoch:2,	Loss:0.8375,	Tr Acc:74.3910,	Ts Acc:70.3622,	Time:9.6771,	A Norm:393.1697
epoch:3,	Loss:0.6207,	Tr Acc:80.2109,	Ts Acc:68.6396,	Time:9.4238,	A Norm:423.2428
epoch:4,	Loss:0.4838,	Tr Acc:84.6371,	Ts Acc:74.7350,	Time:9.3231,	A Norm:445.4544
epoch:5,	Loss:0.4240,	Tr Acc:86.8767,	Ts Acc:72.8799,	Time:9.9685,	A Norm:462.6614
epoch:6,	Loss:0.4069,	Tr Acc:88.4625,	Ts Acc:76.2809,	Time:9.9446,	A Norm:479.3768
epoch:7,	Loss:0.4150,	Tr Acc:90.3180,	Ts Acc:76.1484,	Time:9.8133,	A Norm:495.1208
epoch:8,	Loss:0.2478,	Tr Acc:91.9528,	Ts Acc:76.9876,	Time:9.7296,	A Norm:507.6353
epoch:9,	Loss:0.3668,	Tr Acc:92.9295,	Ts Acc:78.2686,	Time:9.4038,	A Norm:518.3564
epoch:10,	Loss:0.2337,	Tr Acc:94.2088,	Ts Acc:79.3728,	Time:9.9854,	A Norm:528.1587
epoch:11,	Loss:0.2345,	Tr Acc:94.7155,	Ts Acc:78.3127,	Time:9.4728,	A Norm:532.3555
epoch:12,	Loss:0.2401,	Tr Acc:95.6678,	Ts Acc:80.0353,	Time:9.0468,	A Norm:540.3926
epoch:13,	Loss:0.2287,	Tr Acc:96.0275,	Ts Acc:79.5053,	Time:9.1159,	A Norm:547.7181
epoch:14,	Loss:0.1739,	Tr Acc:96.7509,	Ts Acc:79.6820,	Time:9.0750,	A Norm:554.7784
epoch:15,	Loss:0.2441,	Tr Acc:96.8857,	Ts Acc:79.1519,	Time:9.1459,	A Norm:558.3752
epoch:16,	Loss:0.1604,	Tr Acc:96.9756,	Ts Acc:78.5777,	Time:9.1419,	A Norm:562.8916
epoch:17,	Loss:0.1629,	Tr Acc:97.8257,	Ts Acc:80.9629,	Time:8.9757,	A Norm:572.8405
epoch:18,	Loss:0.1087,	Tr Acc:98.2835,	Ts Acc:80.0795,	Time:9.2305,	A Norm:579.6239
epoch:19,	Loss:0.1024,	Tr Acc:98.7330,	Ts Acc:80.6537,	Time:9.1561,	A Norm:583.8702
epoch:20,	Loss:0.1140,	Tr Acc:98.5369,	Ts Acc:79.5495,	Time:9.2441,	A Norm:586.1033
epoch:21,	Loss:0.1028,	Tr Acc:98.9170,	Ts Acc:77.8710,	Time:9.1063,	A Norm:590.4275
epoch:22,	Loss:0.0693,	Tr Acc:99.1499,	Ts Acc:81.0071,	Time:9.4288,	A Norm:596.1368
epoch:23,	Loss:0.0741,	Tr Acc:99.2439,	Ts Acc:80.7420,	Time:9.1380,	A Norm:598.8519
epoch:24,	Loss:0.0892,	Tr Acc:99.3870,	Ts Acc:79.1961,	Time:9.0481,	A Norm:599.4924
epoch:25,	Loss:0.0506,	Tr Acc:99.4646,	Ts Acc:80.0795,	Time:9.3740,	A Norm:600.1376
epoch:26,	Loss:0.0539,	Tr Acc:99.5382,	Ts Acc:79.0636,	Time:9.4963,	A Norm:602.5547
epoch:27,	Loss:0.0446,	Tr Acc:99.6117,	Ts Acc:80.0353,	Time:9.2524,	A Norm:604.6318
epoch:28,	Loss:0.0498,	Tr Acc:99.7262,	Ts Acc:80.3445,	Time:9.3360,	A Norm:606.9935
epoch:29,	Loss:0.0397,	Tr Acc:99.8038,	Ts Acc:79.7703,	Time:9.2392,	A Norm:609.8846
epoch:30,	Loss:0.0334,	Tr Acc:99.8283,	Ts Acc:78.6661,	Time:9.1015,	A Norm:611.1193
epoch:31,	Loss:0.0404,	Tr Acc:99.8897,	Ts Acc:80.3887,	Time:8.9455,	A Norm:613.3558
epoch:32,	Loss:0.0402,	Tr Acc:99.8570,	Ts Acc:78.4894,	Time:9.1500,	A Norm:612.5555
epoch:33,	Loss:0.0287,	Tr Acc:99.9223,	Ts Acc:79.1961,	Time:9.3161,	A Norm:611.0847
epoch:34,	Loss:0.0423,	Tr Acc:99.9550,	Ts Acc:78.4894,	Time:9.1023,	A Norm:608.9304
epoch:35,	Loss:0.0216,	Tr Acc:99.9550,	Ts Acc:80.3445,	Time:9.1140,	A Norm:612.7383
epoch:36,	Loss:0.0293,	Tr Acc:99.9796,	Ts Acc:78.8428,	Time:9.2124,	A Norm:614.3649
epoch:37,	Loss:0.0248,	Tr Acc:99.9510,	Ts Acc:78.7986,	Time:9.2888,	A Norm:616.6986
epoch:38,	Loss:0.0217,	Tr Acc:99.9877,	Ts Acc:79.4170,	Time:9.1231,	A Norm:617.8514
epoch:39,	Loss:0.0302,	Tr Acc:99.9837,	Ts Acc:78.6219,	Time:9.1463,	A Norm:619.2496
epoch:40,	Loss:0.0225,	Tr Acc:99.9673,	Ts Acc:79.3728,	Time:9.1287,	A Norm:618.5466
epoch:41,	Loss:0.0169,	Tr Acc:100.0000,	Ts Acc:77.3852,	Time:9.2350,	A Norm:615.4377
epoch:42,	Loss:0.0185,	Tr Acc:99.9755,	Ts Acc:78.2244,	Time:9.2070,	A Norm:615.2395
epoch:43,	Loss:0.0250,	Tr Acc:99.9837,	Ts Acc:77.4293,	Time:9.0684,	A Norm:616.4623
epoch:44,	Loss:0.0153,	Tr Acc:99.9877,	Ts Acc:79.2403,	Time:9.2190,	A Norm:619.2764
epoch:45,	Loss:0.0112,	Tr Acc:100.0000,	Ts Acc:77.7385,	Time:9.1853,	A Norm:621.1442
epoch:46,	Loss:0.0131,	Tr Acc:100.0000,	Ts Acc:79.2845,	Time:9.0964,	A Norm:622.6591
epoch:47,	Loss:0.0114,	Tr Acc:99.9877,	Ts Acc:79.7703,	Time:9.0155,	A Norm:621.5868
epoch:48,	Loss:0.0095,	Tr Acc:99.9714,	Ts Acc:78.2686,	Time:9.1306,	A Norm:622.2617
epoch:49,	Loss:0.0151,	Tr Acc:99.9959,	Ts Acc:79.6820,	Time:9.2153,	A Norm:620.8069
epoch:50,	Loss:0.0129,	Tr Acc:99.9959,	Ts Acc:80.4770,	Time:9.0339,	A Norm:618.6351
epoch:51,	Loss:0.0097,	Tr Acc:99.9837,	Ts Acc:79.4170,	Time:9.4932,	A Norm:619.4248
epoch:52,	Loss:0.0113,	Tr Acc:99.9714,	Ts Acc:77.8269,	Time:9.2405,	A Norm:619.8665
epoch:53,	Loss:0.0101,	Tr Acc:100.0000,	Ts Acc:79.2403,	Time:9.1529,	A Norm:621.8979
epoch:54,	Loss:0.0077,	Tr Acc:99.9918,	Ts Acc:78.9753,	Time:9.1146,	A Norm:622.9030
epoch:55,	Loss:0.0088,	Tr Acc:100.0000,	Ts Acc:78.5777,	Time:9.0727,	A Norm:623.0931
epoch:56,	Loss:0.0047,	Tr Acc:100.0000,	Ts Acc:77.6502,	Time:9.0916,	A Norm:625.2625
epoch:57,	Loss:0.0086,	Tr Acc:100.0000,	Ts Acc:78.8869,	Time:9.0472,	A Norm:624.3982
epoch:58,	Loss:0.0060,	Tr Acc:99.9837,	Ts Acc:78.6219,	Time:9.0877,	A Norm:620.8959
epoch:59,	Loss:0.0107,	Tr Acc:100.0000,	Ts Acc:78.6219,	Time:9.2086,	A Norm:620.2172
epoch:60,	Loss:0.0050,	Tr Acc:100.0000,	Ts Acc:78.5336,	Time:9.4629,	A Norm:621.5029
epoch:61,	Loss:0.0053,	Tr Acc:100.0000,	Ts Acc:78.5336,	Time:9.3334,	A Norm:621.5561
epoch:62,	Loss:0.0061,	Tr Acc:100.0000,	Ts Acc:79.0636,	Time:9.1154,	A Norm:623.2449
epoch:63,	Loss:0.0052,	Tr Acc:100.0000,	Ts Acc:79.0194,	Time:9.2108,	A Norm:625.4183
epoch:64,	Loss:0.0054,	Tr Acc:100.0000,	Ts Acc:78.6661,	Time:9.7678,	A Norm:626.3646
